SeriesID,Date,IsPreferred,IsValidSample,BMIBI,BMIBIClass,BCG_final,SampleQuality,SampleGear,BMIBIType,SumIndivsQual,SumIndivsQuant,BugTags,State,SiteID,Site_ID,StreamName,ProgID,Landmark,Type,Tags,SegID,ADBCode,EcoRegionDesig,County,MajorBasin,DrainageArea,ThermalClass,HUC12,UTMNorth,UTMEast,Lat,Long,IsRiffle,IsPublicLand,CurrentStatus
510,9/18/2001,TRUE,TRUE,84,Excellent,2,Unspecified/Unspecified/Unspecified,Hess,Warm Water,152,110/113/114,,IA,264,IA-264,North Branch Volga River,NV001,Randalia,Wadeable,Iowa DNR Fisheries,330,01-VOL-330,47c,Fayette,Mississippi,24.514,Warm Water,huc070600040501,4744428,588448,42.84731,-91.91754,No,FALSE,Survey Site
2032,7/18/2016,TRUE,TRUE,84,Excellent,2,Good/Good/Good,Surb,Warm Water,103,97/104/107,,IA,775,IA-775,Unnamed Tributary to Volga Lake Outlet,HW#3,Fayette,Headwater,Headwater Reference Study,6430,01-VOL-6430,52b,Fayette,Mississippi,0.79,Warm Water,huc070600040505,4749737,600846,42.89357,-91.76488,N/A,FALSE,Candidate Reference Site
2023,8/24/2016,TRUE,TRUE,84,Excellent,2,Good/Good/Good,Hess,Warm Water,239,106/102/105,,IA,163,IA-163,Deep Creek,,Wadena,Headwater,Headwater Reference Study,1876,01-VOL-1876,52b,Fayette,Mississippi,2.607,Warm Water,huc070600040604,4740400,609950,42.80826,-91.65524,N/A,FALSE,Reference Site
2011,8/16/2016,TRUE,TRUE,84,Excellent,2,Good/Good/Good,Hess,Warm Water,373,104/110/106,,IA,288,IA-288,Upper Iowa River,,Dorchester,Wadeable,Ambient Monthly WQ,237,01-UIA-237,52b,Allamakee,Mississippi,767.863,Warm Water,huc070600020602,4808702,620693,43.42149,-91.50903,N/A,FALSE,Survey Site
2013,9/20/2016,TRUE,TRUE,83,Excellent,2,Good/Good/Good,Surb,Warm Water,200,95/100/101,,IA,775,IA-775,Unnamed Tributary to Volga Lake Outlet,HW#3,Fayette,Headwater,Headwater Reference Study,6430,01-VOL-6430,52b,Fayette,Mississippi,0.79,Warm Water,huc070600040505,4749737,600846,42.89357,-91.76488,N/A,FALSE,Candidate Reference Site
2120,8/28/2017,TRUE,TRUE,83,Excellent,2,Good/Good/Good,Surb,Warm Water,147,99/102/93,,IA,1164,IA-1164,Wolf Creek,REMAP #453,Elkport,Headwater,REMAP2,177,01-TRK-177,52b,Clayton,Mississippi,3.86,Warm Water,huc070600040802,4732056,639823,42.72829,-91.29208,N/A,FALSE,Survey Site
2186,8/7/2018,TRUE,TRUE,83,Excellent,2,Good/Good/Good,Hess,Warm Water,298,99/102/99,,IA,127,IA-127,Dibble Creek,,Clermont,Headwater,Headwater Reference Study,203,01-TRK-203,52b,Fayette,Mississippi,13.33,Warm Water,huc070600040704,4764686,608365,43.02713,-91.66992,N/A,FALSE,Reference Site
2195,8/2/2018,TRUE,TRUE,83,Excellent,2,Good/Good/Good,Hess,Warm Water,318,106/112/106,,IA,154,IA-154,Lime Creek,RMN Trend Site,Lime Creek Park- Brandon,Wadeable,RMN Trend Site,524,02-CED-524,47c,Buchanan,Mississippi,32.504,Warm Water,huc070802051003,4686823,583862,42.32914,-91.98213,Yes,TRUE,Reference Site
346,8/21/2008,TRUE,TRUE,83,Excellent,2,Good/Good/Good,Hess,Warm Water,283,113/101/107,,IA,154,IA-154,Lime Creek,RMN Trend Site,Lime Creek Park- Brandon,Wadeable,RMN Trend Site,524,02-CED-524,47c,Buchanan,Mississippi,32.504,Warm Water,huc070802051003,4686823,583862,42.32914,-91.98213,Yes,TRUE,Reference Site
1076,9/20/2010,TRUE,TRUE,83,Excellent,2,Good/Good/Good,Hess,Warm Water,338,103/93/92,,IA,721,IA-721,Unnamed Tributary to Little Turkey River,45,St. Lucas,Headwater,Headwater Reference Study,6327,01-TRK-6327,47c,Fayette,Mississippi,5.111,Warm Water,huc070600040204,4763236,585969,43.01694,-91.94498,Yes,FALSE,Candidate Reference Site
1167,8/23/2011,TRUE,TRUE,83,Excellent,2,Good/Good/Good,ArtSub,Warm Water,220,114/104/116,,IA,795,IA-795,Unnamed Tributary to East Nishnabotna River,,Audubon,Headwater,Headwater Reference Study,6451,05-NSH-6451,47e,Audubon,Missouri,3.676,Warm Water,huc102400030205,4623991,342290,41.75209,-94.89692,N/A,FALSE,Candidate Reference Site
1398,8/7/2012,TRUE,TRUE,83,Excellent,2,Fair/Fair/Fair,ArtSub,Warm Water,193,97/100/100,,IA,953,IA-953,Winnebago River,,Mason City - US1,Wadeable,,827,02-WIN-827,47c,Cerro Gordo,Mississippi,463,Warm Water,huc070802030306,4782256,482895,43.19288,-93.21051,Undetermined,FALSE,Survey Site
1879,8/4/2015,TRUE,TRUE,83,Excellent,2,Good/Good/Good,Surb,Warm Water,221,92/29/96,,IA,775,IA-775,Unnamed Tributary to Volga Lake Outlet,HW#3,Fayette,Headwater,Headwater Reference Study,6430,01-VOL-6430,52b,Fayette,Mississippi,0.79,Warm Water,huc070600040505,4749737,600846,42.89357,-91.76488,N/A,FALSE,Candidate Reference Site
1819,5/19/2015,TRUE,TRUE,82,Excellent,2,Good/Good/Good,ArtSub,Warm Water,179,107/99/98,,IA,775,IA-775,Unnamed Tributary to Volga Lake Outlet,HW#3,Fayette,Headwater,Headwater Reference Study,6430,01-VOL-6430,52b,Fayette,Mississippi,0.79,Warm Water,huc070600040505,4749737,600846,42.89357,-91.76488,N/A,FALSE,Candidate Reference Site
1877,9/21/2015,TRUE,TRUE,82,Excellent,2,Good/Good/Good,Surb,Warm Water,174,85/101/85,,IA,775,IA-775,Unnamed Tributary to Volga Lake Outlet,HW#3,Fayette,Headwater,Headwater Reference Study,6430,01-VOL-6430,52b,Fayette,Mississippi,0.79,Warm Water,huc070600040505,4749737,600846,42.89357,-91.76488,N/A,FALSE,Candidate Reference Site
1608,9/16/2013,TRUE,TRUE,82,Excellent,2,Good/Good/Good,Hess,Warm Water,121,99/105/100,,IA,879,IA-879,Unnamed Tributary to Little Volga,,Maynard,Headwater,Headwater Reference Study,6514,01-VOL-6514,47c,Fayette,Mississippi,7.371,Warm Water,huc070600040503,4740635,589803,42.813,-91.90156,No,FALSE,Candidate Reference Site
1393,9/10/2012,TRUE,TRUE,82,Excellent,2,Good/Good/Good,Surb,Warm Water,210,99/105/112,,IA,883,IA-883,Wolf Creek,,Volga,Headwater,Headwater Reference Study,6518,01-VOL-6518,52b,Clayton,Mississippi,3.338,Warm Water,huc070600040604,4741440,620531,42.81603,-91.52564,N/A,FALSE,Candidate Reference Site
1421,9/19/2012,TRUE,TRUE,82,Excellent,2,Good/Good/Good,Hess,Warm Water,206,104/106/106,,IA,721,IA-721,Unnamed Tributary to Little Turkey River,45,St. Lucas,Headwater,Headwater Reference Study,6327,01-TRK-6327,47c,Fayette,Mississippi,5.111,Warm Water,huc070600040204,4763236,585969,43.01694,-91.94498,Yes,FALSE,Candidate Reference Site
1217,9/14/2011,TRUE,TRUE,82,Excellent,2,Good/Good/Good,Hess,Warm Water,185,102/112/99,,IA,776,IA-776,Unnamed Tributary to Bear Creek,,Dorchester,Headwater,Headwater Reference Study,6431,01-UIA-6431,52b,Winneshiek,Mississippi,2.856,Warm Water,huc070600020503,4812356,613446,43.45551,-91.59777,N/A,FALSE,Candidate Reference Site
161,8/29/1996,TRUE,TRUE,82,Excellent,2,Unspecified/Unspecified/Unspecified,ArtSub,Warm Water,926,105/96/97,,IA,53,IA-53,Coldwater Creek,,Greene,Wadeable,,789,02-SHL-789,47c,Butler,Mississippi,62.96,Warm Water,huc070802020403,4744275,518251,42.85083,-92.77662,No,FALSE,Reference Site
567,9/16/2008,TRUE,TRUE,82,Excellent,2,Good/Good/Good,Hess,Warm Water,230,138/110/120,,IA,288,IA-288,Upper Iowa River,,Dorchester,Wadeable,Ambient Monthly WQ,237,01-UIA-237,52b,Allamakee,Mississippi,767.863,Warm Water,huc070600020602,4808702,620693,43.42149,-91.50903,N/A,FALSE,Survey Site
345,9/4/2007,TRUE,TRUE,82,Excellent,2,Good/Good/Good,Hess,Warm Water,343,100/98/99,,IA,154,IA-154,Lime Creek,RMN Trend Site,Lime Creek Park- Brandon,Wadeable,RMN Trend Site,524,02-CED-524,47c,Buchanan,Mississippi,32.504,Warm Water,huc070802051003,4686823,583862,42.32914,-91.98213,Yes,TRUE,Reference Site
102,8/17/1995,TRUE,TRUE,82,Excellent,2,Unspecified/Unspecified/Unspecified,Hess,Warm Water,379,109/92/113,,IA,31,IA-31,Willow Creek,RMN Trend Site,Willow Creek Wildlife Area - Hanlontown,Headwater,Headwater Reference Study/RMN Trend Site,848,02-WIN-848,47b,Worth,Mississippi,20.479,Warm Water,huc070802030302,4791602,471276,43.27668,-93.35399,Yes,TRUE,Reference Site
75,7/30/1999,TRUE,TRUE,82,Excellent,2,Unspecified/Unspecified/Unspecified,Hess,Warm Water,130,104/108/100,,IA,21,IA-21,South Fork Iowa River,,Logsdon Co Park- Iowa Falls,Wadeable,South Fork Iowa River Project,748,02-IOW-748,47b,Hardin,Mississippi,120.775,Warm Water,huc070802070603,4692584,478397,42.38525,-93.26243,Yes,TRUE,Reference Site
2191,9/11/2018,TRUE,TRUE,82,Excellent,2,Good/Good/Good,ArtSub,Warm Water,132,97/75/103,,IA,317,IA-317,Unnamed Tributary to Muscatine Slough,REMAP #27,Muscatine,Headwater,REMAP/Headwater Reference Study,1866,01-NEM-1866,72d,Muscatine,Mississippi,5.811,Warm Water,huc070801010701,4585451,658487,41.40499,-91.10391,N/A,FALSE,Survey Site
2043,7/18/2016,TRUE,TRUE,82,Excellent,2,Fair/Fair/Fair,ArtSub,Warm Water,103,57/57/105,,IA,775,IA-775,Unnamed Tributary to Volga Lake Outlet,HW#3,Fayette,Headwater,Headwater Reference Study,6430,01-VOL-6430,52b,Fayette,Mississippi,0.79,Warm Water,huc070600040505,4749737,600846,42.89357,-91.76488,N/A,FALSE,Candidate Reference Site
2040,8/24/2016,TRUE,TRUE,82,Excellent,2,Good/Good/Good,Hess,Warm Water,301,102/107/101,,IA,165,IA-165,Brush Creek,,Wadena,Wadeable,,317,01-VOL-317,52b,Fayette,Mississippi,31.72,Warm Water,huc070600040601,4740583,608989,42.81004,-91.66695,N/A,FALSE,Reference Site
2110,7/31/2017,TRUE,TRUE,82,Excellent,2,Good/Good/Good,Hess,Warm Water,149,101/104/105,,IA,315,IA-315,Unnamed Tributary To Otter Creek,REMAP #3,West Union,Headwater,REMAP/Headwater Reference Study,1852,01-TRK-1852,52b,Fayette,Mississippi,2.259,Warm Water,huc070600040706,4755436,601144,42.94484,-91.76021,N/A,FALSE,Survey Site
2115,8/7/2017,TRUE,TRUE,82,Excellent,2,Good/Good/Good,Hess,Warm Water,238,99/109/97,,IA,56,IA-56,Bear Creek,,Buchanan Co Park- Brandon,Wadeable,,523,02-CED-523,47c,Buchanan,Mississippi,44.064,Warm Water,huc070802051004,4683858,585843,42.30222,-91.95853,Yes,TRUE,Reference Site
2112,8/10/2017,TRUE,TRUE,81,Excellent,2,Good/Good/Good,Hess,Warm Water,294,95/102/87,,IA,324,IA-324,Cedar River,REMAP #13,Floyd,Non-wadeable,REMAP,478,02-CED-478,47c,Floyd,Mississippi,1007.727,Warm Water,huc070802011001,4776725,521170,43.14297,-92.73966,Yes,FALSE,Survey Site
2037,8/15/2016,TRUE,TRUE,81,Excellent,2,Good/Good/Good,Hess,Warm Water,194,93/108/87,,IA,843,IA-843,Shell Rock River,,Shell Rock,Non-wadeable,Ambient Monthly WQ/2011 Nutrient (WW),783,02-SHL-783,47c,Butler,Mississippi,1730.171,Warm Water,huc070802020705,4728866,534267,42.71153,-92.58154,Undetermined,FALSE,Survey Site
2190,7/31/2018,TRUE,TRUE,81,Excellent,2,Good/Good/Good,Hess,Warm Water,217,94/92/102,,IA,901,IA-901,Willow Creek,UNTVR1,Volga,Wadeable,Headwater Reference Study,312,01-VOL-312,52b,Clayton,Mississippi,3.307,Warm Water,huc070600040604,4741241,616088,42.81492,-91.58001,N/A,FALSE,Candidate Reference Site
2182,8/15/2018,TRUE,TRUE,81,Excellent,2,Good/Good/Good,Float ArtSub,Warm Water,267,96/95/96,,IA,1154,IA-1154,Wolf Creek,,Main St Bridge La Porte City,Wadeable,Ambient Monthly WQ,530,02-CED-530,47c,Black Hawk,Mississippi,326,Warm Water,huc070802050809,4685079,566392,42.31513,-92.19435,Undetermined,FALSE,Survey Site
615,9/4/2002,TRUE,TRUE,81,Excellent,2,Good/Good/Good,Hess,Warm Water,78,108/114/104,,IA,324,IA-324,Cedar River,REMAP #13,Floyd,Non-wadeable,REMAP,478,02-CED-478,47c,Floyd,Mississippi,1007.727,Warm Water,huc070802011001,4776725,521170,43.14297,-92.73966,Yes,FALSE,Survey Site
16,7/24/2007,TRUE,TRUE,81,Excellent,2,Good/Good/Good,ArtSub,Warm Water,250,110/106/106,,IA,2,IA-2,Little Beaver Creek,,Woodward,Wadeable,,1237,04-UDM-1237,47b,Dallas,Mississippi,33.867,Warm Water,huc071000040908,4632091,419649,41.83663,-93.96773,Yes,FALSE,Reference Site
1110,5/25/2010,TRUE,TRUE,81,Excellent,2,Good/Good/Good,Hess,Warm Water,147,115/124/123,,IA,721,IA-721,Unnamed Tributary to Little Turkey River,45,St. Lucas,Headwater,Headwater Reference Study,6327,01-TRK-6327,47c,Fayette,Mississippi,5.111,Warm Water,huc070600040204,4763236,585969,43.01694,-91.94498,Yes,FALSE,Candidate Reference Site
134,10/3/1995,TRUE,TRUE,81,Excellent,2,Unspecified/Unspecified/Unspecified,Hess,Warm Water,173,102/108/104,,IA,45,IA-45,Little Cedar River,,Colwell Co Park,Wadeable,,576,02-CED-576,47c,Floyd,Mississippi,246.838,Warm Water,huc070802010902,4777793,528952,43.15233,-92.64391,Yes,TRUE,Reference Site
159,7/22/1996,TRUE,TRUE,81,Excellent,2,Unspecified/Unspecified/Unspecified,Hess,Warm Water,763,106/100/128,,IA,52,IA-52,Bailey Creek,,Ingrebretsen Co Park - Sheffield,Wadeable,,820,02-WFC-820,47c,Franklin,Mississippi,76.963,Warm Water,huc070802040102,4750047,478559,42.90273,-93.26263,Yes,TRUE,Reference Site
251,9/9/2003,TRUE,TRUE,81,Excellent,2,Good/Good/Good,Hess,Warm Water,400,109/105/101,,IA,107,IA-107,Canoe Creek,RMN Trend Site,Canoe Creek SWMA - Decorah,Wadeable,RMN Trend Site,260,01-UIA-260,52b,Winneshiek,Mississippi,66.621,Warm Water,huc070600020302,4802501,611946,43.36702,-91.61832,N/A,TRUE,Reference Site
258,9/19/1997,TRUE,TRUE,81,Excellent,2,Unspecified/Unspecified/Unspecified,ArtSub,Warm Water,187,93/104/101,,IA,111,IA-111,South Skunk River,,Ames - River Valley Park,Wadeable,,933,03-SSK-933,47b,Story,Mississippi,325.458,Warm Water,huc070801050406,4653534,450920,42.03232,-93.59292,No,FALSE,Survey Site
1400,8/7/2012,TRUE,TRUE,81,Excellent,2,Good/Good/Good,Hess,Warm Water,193,111/100/106,,IA,953,IA-953,Winnebago River,,Mason City - US1,Wadeable,,827,02-WIN-827,47c,Cerro Gordo,Mississippi,463,Warm Water,huc070802030306,4782256,482895,43.19288,-93.21051,Undetermined,FALSE,Survey Site
1367,9/6/2012,TRUE,TRUE,81,Excellent,2,Good/Good/Good,Hess,Warm Water,393,105/107/100,,IA,141,IA-141,Yellow River,,Yellow River SF - Yellow River Unit- Ion,Wadeable,,434,01-YEL-434,52b,Allamakee,Mississippi,224.447,Warm Water,huc070600010906,4774852,643688,43.11277,-91.23392,N/A,TRUE,Reference Site
1334,8/9/2012,TRUE,TRUE,81,Excellent,2,Good/Good/Good,ArtSub,Warm Water,299,96/101/104,,IA,136,IA-136,Barber Creek,,Barber Creek SWMA - Grand Mound,Wadeable,,364,01-WPS-364,47f,Clinton,Mississippi,17.511,Warm Water,huc070801030603,4627660,698409,41.77599,-90.61269,N/A,TRUE,Reference Site
1720,7/22/2014,TRUE,TRUE,81,Excellent,2,Good/Good/Good,Hess,Warm Water,244,105/116/101,,IA,901,IA-901,Willow Creek,UNTVR1,Volga,Wadeable,Headwater Reference Study,312,01-VOL-312,52b,Clayton,Mississippi,3.307,Warm Water,huc070600040604,4741241,616088,42.81492,-91.58001,N/A,FALSE,Candidate Reference Site
1796,10/8/2014,TRUE,TRUE,81,Excellent,2,Good/Good/Good,Float ArtSub,Warm Water,325,102/103/109,,IA,288,IA-288,Upper Iowa River,,Dorchester,Wadeable,Ambient Monthly WQ,237,01-UIA-237,52b,Allamakee,Mississippi,767.863,Warm Water,huc070600020602,4808702,620693,43.42149,-91.50903,N/A,FALSE,Survey Site
1792,9/24/2014,TRUE,TRUE,81,Excellent,2,Good/Good/Good,Hess,Warm Water,250,99/106/105,,IA,886,IA-886,Unnamed Tributary to Turkey River,Site 6,Elgin,Headwater,Headwater Reference Study,6522,01-TRK-6522,52b,Clayton,Mississippi,3.41,Warm Water,huc070600040708,4760460,617033,42.9878,-91.56445,N/A,FALSE,Candidate Reference Site
1924,8/17/2015,TRUE,TRUE,81,Excellent,2,Good,Hess,Warm Water,332,108,,IA,108,IA-108,Little Turkey River,,Gouldsburg Co Park,Wadeable,,207,01-TRK-207,47c,Fayette,Mississippi,317.45,Warm Water,huc070600040204,4762350,584850,43.00908,-91.95885,Yes,TRUE,Reference Site
1763,9/8/2014,TRUE,TRUE,80,Excellent,2,Good/Good/Good,Hess,Warm Water,234,103/115/111,,IA,953,IA-953,Winnebago River,,Mason City - US1,Wadeable,,827,02-WIN-827,47c,Cerro Gordo,Mississippi,463,Warm Water,huc070802030306,4782256,482895,43.19288,-93.21051,Undetermined,FALSE,Survey Site
1766,9/8/2014,TRUE,TRUE,80,Excellent,2,Good/Good/Good,Float ArtSub,Warm Water,234,104/105/105,,IA,953,IA-953,Winnebago River,,Mason City - US1,Wadeable,,827,02-WIN-827,47c,Cerro Gordo,Mississippi,463,Warm Water,huc070802030306,4782256,482895,43.19288,-93.21051,Undetermined,FALSE,Survey Site
1709,7/22/2014,TRUE,TRUE,80,Excellent,2,Good/Good/Good,Hess,Warm Water,296,98/98/99,,IA,315,IA-315,Unnamed Tributary To Otter Creek,REMAP #3,West Union,Headwater,REMAP/Headwater Reference Study,1852,01-TRK-1852,52b,Fayette,Mississippi,2.259,Warm Water,huc070600040706,4755436,601144,42.94484,-91.76021,N/A,FALSE,Survey Site
1657,8/25/2014,TRUE,TRUE,80,Excellent,2,Good/Good/Good,LowFlow ArtSub,Warm Water,161,104/96/102,,IA,870,IA-870,Unnamed Tributary to Willow Creek,,Collins,Headwater,Headwater Reference Study,6504,03-SSK-6504,47b,Story,Mississippi,3.988,Warm Water,huc070801050701,4640212,479902,41.9136,-93.24235,No,FALSE,Candidate Reference Site
1507,8/1/2013,TRUE,TRUE,80,Excellent,2,Fair/Fair/Fair,Surb,Warm Water,138,100/98/101,,IA,725,IA-725,Volga River,HW56,Hawkeye,Headwater,Headwater Reference Study,6332,01-VOL-6332,47c,Fayette,Mississippi,6.958,Warm Water,huc070600040502,4748491,582248,42.88459,-91.99281,No,FALSE,Candidate Reference Site
1522,8/1/2013,TRUE,TRUE,80,Excellent,2,Good/Good/Good,Surb,Warm Water,209,104/109/109,,IA,126,IA-126,Deer Creek,,Stuart,Wadeable,,1207,04-RAC-1207,47f,Guthrie,Mississippi,11.822,Warm Water,huc071000070703,4600069,390235,41.54475,-94.31602,N/A,FALSE,Reference Site
1601,7/30/2013,TRUE,TRUE,80,Excellent,2,Good/Good/Good,Hess,Warm Water,301,104/102/107,,IA,814,IA-814,Doe Creek,,Littleport,Wadeable,Headwater Reference Study,300,01-VOL-300,52b,Clayton,Mississippi,6.226,Warm Water,huc070600040608,4731871,633649,42.72771,-91.36751,N/A,FALSE,Candidate Reference Site
259,9/19/1997,TRUE,TRUE,80,Excellent,2,Unspecified/Unspecified/Unspecified,ArtSub,Warm Water,184,104/52/94,,IA,112,IA-112,Keigley Branch,,Gilbert,Wadeable,,957,03-SSK-957,47b,Story,Mississippi,50.493,Warm Water,huc070801050405,4663478,451995,42.12194,-93.58075,No,FALSE,Survey Site
250,9/9/1997,TRUE,TRUE,80,Excellent,2,Unspecified/Unspecified/Unspecified,Hess,Warm Water,166,96/104/106,,IA,107,IA-107,Canoe Creek,RMN Trend Site,Canoe Creek SWMA - Decorah,Wadeable,RMN Trend Site,260,01-UIA-260,52b,Winneshiek,Mississippi,66.621,Warm Water,huc070600020302,4802501,611946,43.36702,-91.61832,N/A,TRUE,Reference Site
572,7/18/2002,TRUE,TRUE,80,Excellent,2,Unspecified/Unspecified/Unspecified,Hess,Warm Water,231,111/98/99,,IA,290,IA-290,Squaw Creek,REMAP #9,Ames- Veenker Golf Course,Wadeable,REMAP,954,03-SSK-954,47b,Story,Mississippi,193.642,Warm Water,huc070801050307,4654119,446090,42.03726,-93.65132,No,FALSE,Survey Site
