PUBLICATION_DATE,UID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,LAT_DD83,LON_DD83,AG_ECO9_NM,SITETYPE,INDEX_VISIT,FISH_SAMPLING,SAMPLED_FISH,RT_NRSA,MMI_FISH,ALIENNTAX_PT,ALIENNTAX_WS,ALIENNTAX_WS_PT,ALIENPIND_WS,ALIENPIND_WS_PT,BENTINVPTAX_WS,BENTINVPTAX_WS_PT,CARNNTAX_WS,CARNNTAX_WS_PT,CENTPTAX_PT,CYPRNTAX_PT,CYPRPTAX_WS,CYPRPTAX_WS_PT,HERBPTAX_PT,INTLINVPTAX_PT,INTLLOTNTAX_WS,INTLLOTNTAX_WS_PT,INTLLOTPTAX_WS,INTLLOTPTAX_WS_PT,INTLMIGRNTAX_PT,INTLMIGRPIND_PT,INTLMIGRPTAX_PT,INTLPTAX_PT,INVNTAX_PT,INVPIND_WS,INVPIND_WS_PT,INVPTAX_PT,LITHNTAX_PT,LITHNTAX_WS,LITHNTAX_WS_PT,LITHPIND_PT,LITHPIND_WS,LITHPIND_WS_PT,LITHPTAX_PT,LITHPTAX_WS,LITHPTAX_WS_PT,LOTNTAX_WS,LOTNTAX_WS_PT,LOTPIND_WS,LOTPIND_WS_PT,MIGRNTAX_WS,MIGRNTAX_WS_PT,MIGRPTAX_WS,MIGRPTAX_WS_PT,NAT_CARNNTAX_WS,NAT_CARNNTAX_WS_PT,NAT_CATOPIND_PT,NAT_CENTNTAX_WS,NAT_CENTNTAX_WS_PT,NAT_CYPRPIND_PT,NAT_HERBPTAX_PT,NAT_ICTAPIND_WS,NAT_ICTAPIND_WS_PT,NAT_INTLPIND_WS,NAT_INTLPIND_WS_PT,NAT_LITHPIND_WS,NAT_LITHPIND_WS_PT,NAT_MIGRNTAX_PT,NAT_MIGRPTAX_WS,NAT_MIGRPTAX_WS_PT,NAT_NTOLBENTPTAX_PT,NAT_NTOLNTAX_PT,NAT_NTOLNTAX_WS,NAT_NTOLNTAX_WS_PT,NAT_PIND_PT,NAT_PTAX_PT,NAT_RHEOPIND_PT,NAT_TOTLNTAX_WS,NAT_TOTLNTAX_WS_PT,NTOLNTAX_WS,NTOLNTAX_WS_PT,NTOLPTAX_PT,NTOLPTAX_WS,NTOLPTAX_WS_PT,RBCATONTAX_PT,RHEONTAX_PT,RHEOPIND_PT,SALMNTAX_PT,TOLRNTAX_PT,TOLRNTAX_WS,TOLRNTAX_WS_PT,TOLRPTAX_PT
4/23/2019,1002023,KYRM-1002,1,5/22/2013,KY,38.68588,-85.17831,Southern Appalachians,PROB,Y,,YES-SUFFICIENT,S,34.12,,,,,,,,,,,,,,,,,,,,,,,,,-75.585,0,,,,,,,,,,,,,,,,,,,,,,-2.124,10,,,,,,,-22.506,4,0,,,4.09,,,,,2.31,,,,,,2.67,,,,,,,,,,4.23
4/23/2019,1002024,GAS9-0921,1,5/21/2013,GA,34.42898,-82.90528,Southern Appalachians,PROB,Y,,YES-SUFFICIENT,S,57.52,,,,,,,,,,,,,,,,,,,,,,,,,2.315,6.34,,,,,,,,,,,,,,,,,,,,,,1.53,4.05,,,,,,,-16.617,4.7,10,,,6.43,,,,,3.75,,,,,,4.5,,,,,,,,,,6.25
4/23/2019,1002025,GAS9-0915,1,5/23/2013,GA,33.92673,-85.05046,Southern Appalachians,PROB,Y,,YES-SUFFICIENT,S,42.98,,,,,,,,,,,,,,,,,,,,,,,,,-16.481,4.44,,,,,,,,,,,,,,,,,,,,,,0.182,6.67,,,,,,,12.317,8.1,10,,,0,,,,,0,,,,,,2.67,,,,,,,,,,2.5
4/23/2019,1002026,PARM-1005,1,5/29/2013,PA,40.59864,-79.75119,Southern Appalachians,PROB,Y,,YES-SUFFICIENT,T,35.14,,,,,,,,,,,,,,,,,,,,,,,,,-22.378,3.84,,,,,,,,,,,,,,,,,,,,,,-1.455,9.84,,,,,,,-18.021,4.53,2.5,,,4.41,,,,,0,,,,,,0.77,,,,,,,,,,2.22
4/23/2019,1002027,OHRM-1002,1,5/28/2013,OH,40.14887,-80.70356,Southern Appalachians,PROB,Y,,YES-SUFFICIENT,T,35,,,,,,,,,,,,,,,,,,,,,,,,,-58.829,0.14,,,,,,,,,,,,,,,,,,,,,,-1.714,10,,,,,,,-23.572,3.88,0,,,4.56,,,,,4.23,,,,,,1.54,,,,,,,,,,3.65
4/23/2019,1002028,PARM-1001,1,5/29/2013,PA,40.76001,-79.54689,Southern Appalachians,PROB,Y,,YES-SUFFICIENT,S,34.77,,,,,,,,,,,,,,,,,,,,,,,,,-16.59,4.43,,,,,,,,,,,,,,,,,,,,,,-1.374,9.69,,,,,,,-21.137,4.16,0,,,5,,,,,0,,,,,,1.71,,,,,,,,,,2.83
4/23/2019,1002029,NJS9-0908,1,6/2/2013,NJ,41.04212,-74.0473,Southern Appalachians,PROB,Y,,YES-SUFFICIENT,T,55.94,,,,,,,,,,,,,,,,,,,,,,,,,-31.332,2.93,,,,,,,,,,,,,,,,,,,,,,-0.342,7.69,,,,,,,19.619,8.96,10,,,0,,,,,10,,,,,,2.67,,,,,,,,,,2.5
4/23/2019,1002030,CARM-1007,1,6/3/2013,CA,38.43501,-121.5249,Xeric,PROB,Y,NO_PERMIT,NOT FISHED,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2019,1002031,AZR9-0902,1,5/27/2013,AZ,36.43346,-111.8641,Xeric,PROB,Y,,"NO->20 CW SAMPLED,<500 INDIV",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2019,1002032,AZR9-0901,1,5/30/2013,AZ,36.08766,-111.8706,Xeric,PROB,Y,,"NO->20 CW SAMPLED,<500 INDIV",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2019,1002033,CARM-1003,1,6/4/2013,CA,37.90976,-121.3253,Xeric,PROB,Y,,YES-SUFFICIENT,T,24.84,,,,,,-39.824,1.24,,,0,,,,,,,,,,,,,,,,,,,-5.98,0.28,,,,,,,,,,,,,9.273,7.19,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,7,,,,,0,,,2.714,4.08,
4/23/2019,1002034,NJRO-1019,1,6/4/2013,NJ,40.75796,-74.16351,Southern Appalachians,PROB,Y,,YES-SUFFICIENT,T,37.05,,,,,,,,,,,,,,,,,,,,,,,,,-59.322,0.09,,,,,,,,,,,,,,,,,,,,,,-1.605,10,,,,,,,-19.096,4.41,2.5,,,2.5,,,,,0,,,,,,3.89,,,,,,,,,,6.25
4/23/2019,1002035,TXR9-0907,1,6/4/2013,TX,30.57973,-94.99791,Coastal Plains,PROB,Y,,YES-SUFFICIENT,S,33.55,,,,17.783,0,,,,,,,,,,,,,,,,,0,,,,,1.83,,,,,8.614,7.81,,,,,,39.432,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.246,1.43,,,,,,0,,,,,0.943,5.77,
4/23/2019,1002036,GAS9-0916,1,6/4/2013,GA,32.80116,-82.92292,Coastal Plains,PROB,Y,,YES-SUFFICIENT,S,54.04,,,,0.209,9.52,,,,,,,,,,,,,,,,,0,,,,,9.65,,,,,-12.786,5.95,,,,,,-6.856,6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.11,3.25,,,,,,0,,,,,-1.929,8.45,
4/23/2019,1002037,NES9-0934,1,6/5/2013,NE,40.90226,-96.60626,Temperate Plains,PROB,Y,,"YES-<50% OF REACH,>=25 INDIV",S,42.34,,1.02,4.37,,,,,-0.312,5.75,,,,,,,,,,,10,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,-0.643,9.32,,,,,,,,,,-3.095,4.43,,,,,,,,,,,,0,,,,,,
4/23/2019,1002038,KSRS-1261,1,6/5/2013,KS,39.35249,-99.83154,Southern Plains,PROB,Y,,YES-SUFFICIENT,S,60.39,,,,,,,,,,,,18.786,5.52,6.67,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.153,9.95,,1.43,,,8.54,,,,,,,,,,,,1.2,,10,,,
4/23/2019,1002039,KSRS-1277,1,6/5/2013,KS,39.04576,-99.04318,Southern Plains,PROB,Y,,YES-SUFFICIENT,T,52.41,,,,,,,,,,,,41.617,2.64,3.08,,,,,,,,,,,,,,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.283,9.99,,4.29,,,8.45,,,,,,,,,,,,1.81,,5,,,
4/23/2019,1002040,OKR9-0901,1,6/3/2013,OK,35.92582,-99.51525,Southern Plains,PROB,Y,,YES-SUFFICIENT,T,37.8,,,,,,,,,,,,56.429,0.78,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.933,10,,2.86,,,7.43,,,,,,,,,,,,0,,9.17,,,
4/23/2019,1002041,PALS-1091,1,6/5/2013,PA,41.75655,-77.5552,Northern Appalachians,PROB,Y,,YES-SUFFICIENT,R,46.73,0,,,,,,,,,,,,,,,,,,,,2.96,,,1.11,,,,,,,,,,,-12.04,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,,,,,,-5.115,5.55,,,,10,,3.332,4.16,
4/23/2019,1002042,NJLS-1043,1,6/5/2013,NJ,40.91547,-74.08986,Southern Appalachians,PROB,Y,,YES-SUFFICIENT,T,32.62,,,,,,,,,,,,,,,,,,,,,,,,,-13.442,4.75,,,,,,,,,,,,,,,,,,,,,,0.398,6.25,,,,,,,-37.043,2.29,5,,,3.46,,,,,0,,,,,,1.85,,,,,,,,,,2.5
4/23/2019,1002043,DELS-1036,1,6/5/2013,DE,38.85149,-75.66956,Coastal Plains,PROB,Y,,YES-SUFFICIENT,S,44.33,,,,4.935,6.32,,,,,,,,,,,,,,,,,0,,,,,4.99,,,,,-40.966,3.51,,,,,,-1.463,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.794,5.59,,,,,,3.33,,,,,1.987,4.79,
4/23/2019,1002044,NES9-0923,1,6/4/2013,NE,41.41566,-98.08897,Southern Plains,PROB,Y,,"YES-<50% OF REACH,>=25 INDIV",T,41.78,,,,,,,,,,,,38.283,3.06,0,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.749,9.82,,4.29,,,6.25,,,,,,,,,,,,0,,8.33,,,
4/23/2019,1002045,NES9-0930,1,6/3/2013,NE,41.67311,-97.67665,Southern Plains,PROB,Y,,"YES-<50% OF REACH,>=25 INDIV",T,47,,,,,,,,,,,,38.844,2.99,0,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78,9.83,,5.71,,,9.9,,,,,,,,,,,,0,,7.5,,,
4/23/2019,1002046,WVRF-0001,1,6/5/2013,WV,39.4955,-78.30457,Southern Appalachians,HAND,Y,,YES-SUFFICIENT,R,62.61,,,,,,,,,,,,,,,,,,,,,,,,,-34.914,2.57,,,,,,,,,,,,,,,,,,,,,,-0.586,8.16,,,,,,,23.011,9.36,10,,,0,,,,,10,,,,,,0,,,,,,,,,,10
4/23/2019,1002047,OKS9-0935,1,6/4/2013,OK,35.54539,-99.72271,Southern Plains,PROB,Y,,YES-50-90% OF REACH,R,56.21,,,,,,,,,,,,-23.568,10,5,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,9.58,,2.86,,,7.47,,,,,,,,,,,,0.89,,7.5,,,
4/23/2019,1002048,PAS9-0918,1,6/6/2013,PA,41.60763,-77.50377,Northern Appalachians,PROB,Y,,YES-SUFFICIENT,R,71.38,7.5,,,,,,,,,,,,,,,,,,,,0,,,7.78,,,,,,,,,,,-1.27,6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,2.848,6.83,,,,10,,-0.02,8.12,
4/23/2019,1002049,MDS9-0914,1,6/6/2013,MD,38.68908,-75.7699,Coastal Plains,PROB,Y,,YES-SUFFICIENT,S,27.09,,,,34.335,0,,,,,,,,,,,,,,,,,0,,,,,5.46,,,,,-35.217,4.01,,,,,,-42.807,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.416,2.68,,,,,,0,,,,,0.107,6.55,
4/23/2019,1002050,NJR9-0901,1,6/6/2013,NJ,41.27242,-74.84022,Southern Appalachians,PROB,Y,,YES-SUFFICIENT,S,45.51,,,,,,,,,,,,,,,,,,,,,,,,,-21.665,3.91,,,,,,,,,,,,,,,,,,,,,,-1.057,9.07,,,,,,,33.635,10,5,,,4,,,,,0,,,,,,1.93,,,,,,,,,,2.5
4/23/2019,1002051,TXS9-0926,1,6/6/2013,TX,29.91047,-95.49178,Coastal Plains,PROB,Y,,YES-SUFFICIENT,T,19.26,,,,71.31,0,,,,,,,,,,,,,,,,,0,,,,,4.57,,,,,-70.428,0.95,,,,,,-77.747,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.655,3.89,,,,,,0,,,,,0.69,6,
4/23/2019,1002052,NJSS-1082,1,6/7/2013,NJ,41.0507,-74.38407,Northern Appalachians,PROB,Y,NO_FISH,YES-SUFFICIENT,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2019,1002053,NJRO-1020,1,6/9/2013,NJ,40.90745,-74.30466,Southern Appalachians,PROB,Y,,YES-SUFFICIENT,T,35.39,,,,,,,,,,,,,,,,,,,,,,,,,-25.442,3.53,,,,,,,,,,,,,,,,,,,,,,0.714,5.64,,,,,,,-31.086,2.99,7.5,,,2.14,,,,,0,,,,,,3.33,,,,,,,,,,3.18
4/23/2019,1002054,MNSS-1171,1,6/6/2013,MN,44.94257,-93.02145,Upper Midwest,PROB,Y,EQUIPMENT_FAILURE,YES-SUFFICIENT,?,13.38,,,,,,,,,,,1.11,,,,0,-2.02,2.35,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,-6.234,1.45,,,,,,,,,0.146,5.79,
4/23/2019,1002056,PAS9-0923,1,6/10/2013,PA,40.52159,-79.39899,Southern Appalachians,PROB,Y,,YES-SUFFICIENT,T,62.1,,,,,,,,,,,,,,,,,,,,,,,,,4.656,6.58,,,,,,,,,,,,,,,,,,,,,,1.553,4.01,,,,,,,-18.499,4.48,7.5,,,6,,,,,10,,,,,,5.11,,,,,,,,,,6
4/23/2019,1002057,NJS9-0909,1,6/11/2013,NJ,41.11046,-74.84292,Southern Appalachians,PROB,Y,,YES-SUFFICIENT,S,40.39,,,,,,,,,,,,,,,,,,,,,,,,,19.038,8.04,,,,,,,,,,,,,,,,,,,,,,0.019,6.99,,,,,,,-70.679,0,10,,,0,,,,,0,,,,,,3.71,,,,,,,,,,3.57
4/23/2019,1002058,NER9-0904,1,6/10/2013,NE,40.79966,-98.43775,Southern Plains,PROB,Y,,"NO-<20 CW SAMPLED,<500 INDIV",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2019,1002059,AZRM-1002,1,6/8/2013,AZ,35.9166,-113.3347,Xeric,PROB,Y,,"NO->20 CW SAMPLED,<500 INDIV",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2019,1002060,MDRM-1003,1,6/11/2013,MD,39.44732,-78.97643,Southern Appalachians,PROB,Y,,YES-SUFFICIENT,T,51.71,,,,,,,,,,,,,,,,,,,,,,,,,-41.392,1.91,,,,,,,,,,,,,,,,,,,,,,-0.397,7.79,,,,,,,24.767,9.57,7.5,,,6.82,,,,,0,,,,,,3.96,,,,,,,,,,3.82
4/23/2019,1002061,NVRM-1001,1,6/10/2013,NV,36.73991,-114.206,Xeric,PROB,Y,,"NO->20 CW SAMPLED,<500 INDIV",T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2019,1002062,OKR9-0909,1,6/11/2013,OK,34.59159,-99.02375,Southern Plains,PROB,Y,,YES-50-90% OF REACH,T,36.51,,,,,,,,,,,,0.664,7.8,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.883,9.87,,0,,,6.54,,,,,,,,,,,,0,,5,,,
4/23/2019,1002063,OKS9-0931,1,6/10/2013,OK,34.83934,-98.306,Southern Plains,PROB,Y,,YES-50-90% OF REACH,T,36,,,,,,,,,,,,-33.177,10,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.102,9.63,,0,,,0,,,,,,,,,,,,0,,9.17,,,
4/23/2019,1002064,NELS-1074,1,6/11/2013,NE,40.84166,-99.74438,Southern Plains,PROB,Y,,YES-SUFFICIENT,S,30.02,,,,,,,,,,,,51.043,1.46,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34,9.7,,2.86,,,0,,,,,,,,,,,,0,,10,,,
4/23/2019,1002065,PALS-1090,1,6/11/2013,PA,41.51621,-79.32288,Northern Appalachians,PROB,Y,,YES-SUFFICIENT,T,60.61,10,,,,,,,,,,,,,,,,,,,,0,,,7.78,,,,,,,,,,,-3.893,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,,,,,,-0.736,6.26,,,,5,,-0.274,8.42,
4/23/2019,1002066,KSRS-1340,1,6/10/2013,KS,38.43482,-95.74648,Temperate Plains,PROB,Y,,YES-SUFFICIENT,T,53.27,,1.878,0.71,,,,,1.77,9.22,,,,,,,,,,,10,,,1.18,,,,,,,,1.34,,,,,,,,,,,,,,,,,,,,,2.707,7.57,,,,,,,,,,1.408,7.6,,,,,,,,,,,,5,,,,,,
4/23/2019,1002067,NDSS-1103,1,6/11/2013,ND,46.31488,-101.6123,Northern Plains,PROB,Y,,YES-SUFFICIENT,T,33.48,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.19,0,,,,-2.036,3.2,,,-0.925,2.82,,,0.241,5.76,,,,10,,,,-57.836,0,,,,,,,,,,,,,,,,,,-99,0,,,,,,,,
4/23/2019,1002068,TXSS-1216,1,6/12/2013,TX,32.78727,-96.87091,Southern Plains,PROB,Y,,YES-SUFFICIENT,T,37.76,,,,,,,,,,,,-18.28,10,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.136,9.64,,5.71,,,0.69,,,,,,,,,,,,0,,4.17,,,
4/23/2019,1002069,TXS9-0928,1,6/11/2013,TX,33.75841,-97.29398,Southern Plains,PROB,Y,,YES-50-90% OF REACH,R,55.14,,,,,,,,,,,,-14.997,9.77,5.72,,,,,,,,,,,,,,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322,9.69,,1.43,,,3.61,,,,,,,,,,,,2.23,,8.33,,,
4/23/2019,1002070,KSR9-0906,1,6/11/2013,KS,37.39754,-95.67977,Temperate Plains,PROB,Y,,YES-SUFFICIENT,S,48.88,,0.553,6.37,,,,,0.679,7.4,,,,,,,,,,,10,,,1.25,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,-1.894,9.98,,,,,,,,,,-4.002,3.8,,,,,,,,,,,,0,,,,,,
4/23/2019,1002071,WIRF-0011,1,6/12/2013,WI,44.01212,-89.78824,Upper Midwest,HAND,Y,,YES-SUFFICIENT,S,43.25,,,,,,,,,,,4.44,,,,0,-2.177,2.06,,,,,0,,,,,,,,,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,0.083,5.71,,,,,,,,,-1.272,7.31,
4/23/2019,1002072,PAS9-0922,1,6/12/2013,PA,41.65698,-78.61148,Northern Appalachians,PROB,Y,,YES-SUFFICIENT,S,62.64,10,,,,,,,,,,,,,,,,,,,,0,,,8.89,,,,,,,,,,,-1.524,6.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,2.696,6.81,,,,5,,-0.993,9.27,
4/23/2019,1002073,MNS9-0933,1,6/11/2013,MN,44.51765,-94.02858,Upper Midwest,PROB,Y,,YES-SUFFICIENT,T,22.5,,,,,,,,,,,2.22,,,,0,-2.045,2.3,,,,,0,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,-5.345,2.05,,,,,,,,,-0.922,6.93,
4/23/2019,1002074,NJR9-0902,1,6/12/2013,NJ,40.5089,-74.46615,Southern Appalachians,PROB,Y,,YES-SUFFICIENT,T,25.78,,,,,,,,,,,,,,,,,,,,,,,,,-8.239,5.27,,,,,,,,,,,,,,,,,,,,,,-0.593,8.17,,,,,,,-37.199,2.27,2.5,,,1.36,,,,,0,,,,,,0.22,,,,,,,,,,0.83
4/23/2019,1002075,OKRO-1089,1,6/12/2013,OK,34.88904,-99.37742,Southern Plains,PROB,Y,,SEINING ONLY,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
