UID,SITE_ID,DATE_COL,VISIT_NO,SITESAMP,UNIQUE_ID,DSGN_CYCLE,AG_ECO3,AG_ECO9,EPA_REG,EVAL_CAT,FED_NONFED,FS_EW,HUC2_NM,LAT_DD83,LON_DD83,MAJ_BAS_NM,MIS_BAS_NM,MISS_BASIN,OWN_NARS,PSTL_CODE,STRAH_CAT,URBN_NRS18,USFS,WGT_TP,XCOORD,YCOORD,ACID_COND,ANC_COND,BEDSED_COND,BENT_MMI_COND,CYLSPER_DETECT,CYLSPER_EPA_COND,ENT_1X_STV_COND,FISH_MMI_COND,HG_COND,INSTRMCVR_COND,MICX_DETECT,MICX_EPA_COND,NTL_COND,OE_COND,PTL_COND,RIPDIST_COND,RIPVEG_COND,SAL_COND,SALINITY_CLASS,YEAR,PUBLICATION_DATE
2012500,NRS18_NC_10014,7/19/2018,1,Y,NRS_NC-10122,2018-19,EHIGH,SAP,Region_04,Target_Sampled,Federal,Not_USFS,Tennessee Region,36.27389536,-81.87095586,Ohio-Tennessee Region,Ohio-Tennessee Region,Mississippi_Basin,Non Federal,NC,LargeStreams,Non-Urban,Not_Forest_Service,1203.075765,1253090,-44050.71,Not Assessed,Not Assessed,Good,Good,Not Detected,At or Below Benchmark,Above Benchmark,Fair,At or Below Benchmark,Poor,Not Detected,At or Below Benchmark,Poor,O/E>=0.9,Poor,Moderate,Poor,Good,Not Assessed,2018,1/31/2022
2012501,NRS18_OK_10023,7/23/2018,1,Y,NRS_OK-10107,2018-19,EHIGH,SAP,Region_06,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,35.1481488,-94.70189843,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,OK,RiversOther,Non-Urban,Not_Forest_Service,69.86252816,117270.4,-262607.6,Good,None,Good,Good,Not Detected,At or Below Benchmark,At or Below Benchmark,Poor,Above Benchmark,Good,Detected,At or Below Benchmark,Poor,O/E>=0.9,Poor,Low,Good,Good,Freshwater,2018,1/31/2022
2012502,NRS18_OK_10029,7/24/2018,1,Y,NRS_OK-10064,2018-19,PLNLOW,CPL,Region_06,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,33.91221633,-95.54936002,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,OK,RiversMajor,Non-Urban,Not_Forest_Service,144.2666467,41367.28,-401521.7,Good,None,Good,Poor,Not Detected,At or Below Benchmark,At or Below Benchmark,Fair,At or Below Benchmark,Fair,Not Detected,At or Below Benchmark,Fair,O/E<0.8,Fair,Moderate,Poor,Poor,Freshwater,2018,1/31/2022
2012503,NRS18_OK_10018,8/28/2018,1,Y,NRS_OK-10155,2018-19,PLNLOW,SPL,Region_06,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,36.76012251,-96.2895561,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Tribal Land,OK,SmallStreams,Non-Urban,Not_Forest_Service,476.5241663,-25609.28,-82867.6,Good,None,Good,Good,Not Detected,At or Below Benchmark,At or Below Benchmark,Good,Not Assessed,Good,Detected,At or Below Benchmark,Fair,O/E>=0.9,Good,Moderate,Good,Good,Freshwater,2018,1/31/2022
2012505,NRS18_DE_10002,9/5/2018,1,Y,NRS_DE-10009,2018-19,PLNLOW,CPL,Region_03,Target_Sampled,Federal,Not_USFS,Mid-Atlantic Region,39.70012709,-75.63338589,Mid-Atlantic Region,Not Mississippi River Basin,Not_Mississippi_Basin,Non Federal,DE,RiversOther,Urban,Not_Forest_Service,33.13279427,1717460.075,431331.818,Good,None,Fair,Not Assessed,Not Detected,At or Below Benchmark,At or Below Benchmark,Poor,At or Below Benchmark,Good,Detected,At or Below Benchmark,Poor,Not Assessed,Fair,Low,Fair,Good,Freshwater,2018,1/31/2022
2012506,NRS18_OK_10003,9/10/2018,1,Y,NRS_OK-10091,2018-19,PLNLOW,SPL,Region_06,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,35.96545316,-96.36807127,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,OK,LargeStreams,Non-Urban,Not_Forest_Service,280.099814,-32898.13,-171853.6,Good,None,Good,Good,Detected,At or Below Benchmark,At or Below Benchmark,Good,Above Benchmark,Good,Not Detected,At or Below Benchmark,Good,O/E<0.9,Good,Moderate,Good,Good,Freshwater,2018,1/31/2022
2012507,NRS18_OK_10830,9/11/2018,1,Y,NRS_OK-10212,2018-19,EHIGH,SAP,Region_06,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,34.45096028,-94.68104222,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,OK,RiversOther,Non-Urban,Not_Forest_Service,69.86252816,120236.7929,-340562.892,Good,None,Good,Good,Not Detected,At or Below Benchmark,At or Below Benchmark,Fair,Not Assessed,Good,Not Detected,At or Below Benchmark,Good,O/E>=0.9,Fair,Low,Good,Good,Freshwater,2018,1/31/2022
2012508,NRS18_OK_10034,9/12/2018,1,Y,NRS_OK-10056,2018-19,EHIGH,SAP,Region_06,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,34.63573085,-95.1215903,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,OK,RiversOther,Non-Urban,Not_Forest_Service,69.86252816,79886.67,-320365,Good,None,Good,Fair,Not Detected,At or Below Benchmark,At or Below Benchmark,Poor,Above Benchmark,Good,Detected,At or Below Benchmark,Poor,O/E<0.9,Poor,Moderate,Good,Good,Freshwater,2018,1/31/2022
2012510,NRS18_OK_11422,6/3/2019,1,Y,NRS_OK-10226,2018-19,PLNLOW,SPL,Region_06,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,35.3731575,-98.67906497,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,OK,SmallStreams,Non-Urban,Not_Forest_Service,476.5241663,-241292.2057,-234825.6228,Good,None,Good,Poor,Not Detected,At or Below Benchmark,Not Assessed,Poor,Not Assessed,Good,Detected,At or Below Benchmark,Poor,O/E<0.8,Poor,Moderate,Good,Good,Freshwater,2019,1/31/2022
2012511,NRS18_OK_10340,9/17/2019,1,Y,NRS_OK-10205,2018-19,PLNLOW,TPL,Region_06,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,36.27028594,-95.72555906,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,OK,RiversOther,Non-Urban,Not_Forest_Service,132.8714761,24430.91145,-137743.1357,Good,None,Fair,Good,Not Detected,At or Below Benchmark,At or Below Benchmark,Poor,At or Below Benchmark,Good,Detected,At or Below Benchmark,Fair,O/E<0.8,Good,Moderate,Good,Good,Freshwater,2019,1/31/2022
2012512,NRS18_KS_10098,5/7/2018,1,Y,NRS_KS-10247,2018-19,PLNLOW,SPL,Region_07,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,38.15745139,-100.1897315,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,KS,SmallStreams,Non-Urban,Not_Forest_Service,512.0881533,-363532.5029,81701.08539,Good,None,Fair,Poor,Not Detected,At or Below Benchmark,At or Below Benchmark,Not Assessed,Not Assessed,Good,Not Detected,At or Below Benchmark,Poor,OE<0.5,Poor,Moderate,Good,Fair,Slightly Saline,2018,1/31/2022
2012513,NRS18_KS_10086,5/14/2018,1,Y,NRS_KS-10235,2018-19,PLNLOW,SPL,Region_07,Target_Sampled,Federal,Not_USFS,Lower Missouri Region,39.89576845,-101.7077863,Missouri Region,Lower Missouri Region,Mississippi_Basin,Non Federal,KS,SmallStreams,Non-Urban,Not_Forest_Service,512.0881533,-483418.5881,283033.8908,Good,None,Good,Fair,Not Detected,At or Below Benchmark,Above Benchmark,Good,At or Below Benchmark,Good,Not Detected,At or Below Benchmark,Fair,O/E>=0.9,Good,High,Good,Good,Freshwater,2018,1/31/2022
2012514,NRS18_OH_10050,5/29/2018,1,Y,NRS_OH-10083,2018-19,PLNLOW,TPL,Region_05,Target_Sampled,Federal,Not_USFS,Ohio Region,39.90838524,-84.29816434,Ohio-Tennessee Region,Ohio-Tennessee Region,Mississippi_Basin,Non Federal,OH,RiversOther,Non-Urban,Not_Forest_Service,114.2815866,989000.5,330892.9,Good,None,Good,Good,Not Detected,At or Below Benchmark,At or Below Benchmark,Good,At or Below Benchmark,Fair,Not Detected,At or Below Benchmark,Poor,O/E>=0.9,Fair,Moderate,Fair,Good,Freshwater,2018,1/31/2022
2012515,NRS18_KS_10103,5/29/2018,1,Y,NRS_KS-10252,2018-19,PLNLOW,SPL,Region_07,Target_Sampled,Federal,Not_USFS,Lower Missouri Region,38.65767114,-97.17331128,Missouri Region,Lower Missouri Region,Mississippi_Basin,Non Federal,KS,SmallStreams,Non-Urban,Not_Forest_Service,512.0881533,-101143.4661,130378.4233,Good,None,Fair,Poor,Not Detected,At or Below Benchmark,At or Below Benchmark,Good,Not Assessed,Good,Not Detected,At or Below Benchmark,Poor,O/E>=0.9,Poor,Moderate,Good,Poor,Slightly Saline,2018,1/31/2022
2012516,NRS18_OH_10023,5/30/2018,1,Y,NRS_OH-10097,2018-19,EHIGH,SAP,Region_05,Target_Sampled,Federal,Not_USFS,Ohio Region,39.2169141,-84.61572904,Ohio-Tennessee Region,Ohio-Tennessee Region,Mississippi_Basin,Non Federal,OH,SmallStreams,Urban,Not_Forest_Service,4736.780411,971551.8761,250697.6426,Good,None,Good,Poor,Not Detected,At or Below Benchmark,Above Benchmark,Good,Not Assessed,Good,Not Detected,At or Below Benchmark,Poor,O/E<0.8,Poor,Moderate,Good,Fair,Freshwater,2018,1/31/2022
2012517,NRS18_KY_10006,5/31/2018,1,Y,NRS_KY-10059,2018-19,EHIGH,SAP,Region_04,Target_Sampled,Federal,Not_USFS,Ohio Region,38.60544808,-83.95593345,Ohio-Tennessee Region,Ohio-Tennessee Region,Mississippi_Basin,Non Federal,KY,LargeStreams,Non-Urban,Not_Forest_Service,1126.275019,1036229,189652,Good,None,Good,Poor,Not Detected,At or Below Benchmark,Above Benchmark,Fair,Not Assessed,Good,Not Detected,At or Below Benchmark,Poor,OE<0.5,Poor,Low,Good,Fair,Freshwater,2018,1/31/2022
2012518,NRS18_TX_10016,6/4/2018,1,Y,NRS_TX-10091,2018-19,PLNLOW,CPL,Region_06,Target_Sampled,Federal,Not_USFS,Texas Region,29.91046544,-95.49178127,Rio Grande-Texas-Gulf Region,Not Mississippi River Basin,Not_Mississippi_Basin,Non Federal,TX,SmallStreams,Urban,Not_Forest_Service,1423.069775,49036.42,-847215.2,Good,None,Good,Poor,Not Detected,At or Below Benchmark,Above Benchmark,Poor,Not Assessed,Fair,Not Detected,At or Below Benchmark,Poor,OE<0.5,Poor,High,Poor,Fair,Freshwater,2018,1/31/2022
2012519,NRS18_OH_10014,6/4/2018,1,Y,NRS_OH-10087,2018-19,PLNLOW,TPL,Region_05,Target_Sampled,Federal,Not_USFS,Great Lakes Region,41.39326507,-84.29579378,Great Lakes Region,Not Mississippi River Basin,Not_Mississippi_Basin,Non Federal,OH,SmallStreams,Non-Urban,Not_Forest_Service,6131.321148,968769.4,495964.5,Good,None,Good,Poor,Not Detected,At or Below Benchmark,At or Below Benchmark,Fair,Not Assessed,Poor,Not Detected,At or Below Benchmark,Poor,O/E<0.8,Good,Moderate,Poor,Good,Freshwater,2018,1/31/2022
2012520,NRS18_KS_10100,6/4/2018,1,Y,NRS_KS-10249,2018-19,PLNLOW,SPL,Region_07,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,37.64636548,-98.19185293,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,KS,SmallStreams,Non-Urban,Not_Forest_Service,512.0881533,-191547.3997,18612.54904,Good,None,Good,Fair,Not Detected,At or Below Benchmark,Above Benchmark,Good,Not Assessed,Good,Not Detected,At or Below Benchmark,Poor,O/E>=0.9,Poor,High,Fair,Good,Freshwater,2018,1/31/2022
2012521,NRS18_MI_10033,6/5/2018,1,Y,NRS_MI-10132,2018-19,PLNLOW,UMW,Region_05,Target_Sampled,Federal,Not_USFS,Great Lakes Region,42.94417911,-83.85332199,Great Lakes Region,Not Mississippi River Basin,Not_Mississippi_Basin,Non Federal,MI,SmallStreams,Non-Urban,Not_Forest_Service,996.9133433,983088.3639,672592.5288,Good,None,Poor,Poor,Not Detected,At or Below Benchmark,Above Benchmark,Poor,At or Below Benchmark,Fair,Not Detected,At or Below Benchmark,Poor,O/E>=0.9,Poor,Moderate,Good,Fair,Freshwater,2018,1/31/2022
2012522,NRS18_PA_10004,6/5/2018,1,Y,NRS_PA-10053,2018-19,EHIGH,NAP,Region_03,Target_Sampled,Federal,Not_USFS,Mid-Atlantic Region,41.60763429,-77.50377625,Mid-Atlantic Region,Not Mississippi River Basin,Not_Mississippi_Basin,Non Federal,PA,SmallStreams,Non-Urban,Not_Forest_Service,1518.617865,1520517,608662.7,Good,None,Good,Good,Not Detected,At or Below Benchmark,At or Below Benchmark,Good,At or Below Benchmark,Good,Not Detected,At or Below Benchmark,Good,O/E>=0.9,Good,Moderate,Good,Good,Freshwater,2018,1/31/2022
2012523,NRS18_IL_10363,6/5/2018,1,Y,NRS_IL-10139,2018-19,PLNLOW,TPL,Region_05,Target_Sampled,Federal,Not_USFS,Upper Mississippi Region,40.45352087,-88.44482322,Upper Mississippi Region,Upper Mississippi Region,Mississippi_Basin,Non Federal,IL,SmallStreams,Non-Urban,Not_Forest_Service,6261.973564,634630.5718,356240.6209,Good,None,Poor,Fair,Not Detected,At or Below Benchmark,At or Below Benchmark,Good,Not Assessed,Good,Not Detected,At or Below Benchmark,Poor,O/E<0.8,Good,Moderate,Poor,Good,Freshwater,2018,1/31/2022
2012524,NRS18_GA_10003,6/5/2018,1,Y,NRS_GA-10058,2018-19,EHIGH,SAP,Region_04,Target_Sampled,Federal,Not_USFS,South Atlantic-West Region,33.92673274,-85.05046408,South-Atlantic Region,Not Mississippi River Basin,Not_Mississippi_Basin,Non Federal,GA,SmallStreams,Non-Urban,Not_Forest_Service,4270.792186,1002726.546,-342167.553,Good,None,Good,Poor,Not Detected,At or Below Benchmark,Above Benchmark,Fair,Not Assessed,Good,Not Detected,At or Below Benchmark,Fair,O/E<0.9,Poor,Moderate,Good,Good,Freshwater,2018,1/31/2022
2012525,NRS18_OH_10029,6/5/2018,1,Y,NRS_OH-10103,2018-19,PLNLOW,TPL,Region_05,Target_Sampled,Federal,Not_USFS,Great Lakes Region,41.5401303,-83.83336808,Great Lakes Region,Not Mississippi River Basin,Not_Mississippi_Basin,Non Federal,OH,LargeStreams,Non-Urban,Not_Forest_Service,1483.463937,1004740.77,517074.7244,Good,None,Fair,Good,Not Detected,At or Below Benchmark,At or Below Benchmark,Good,Not Assessed,Good,Detected,At or Below Benchmark,Poor,O/E>=0.9,Poor,Low,Good,Good,Freshwater,2018,1/31/2022
2012526,NRS18_KS_10043,6/5/2018,1,Y,NRS_KS-10224,2018-19,PLNLOW,SPL,Region_07,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,37.85601511,-97.14034423,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,KS,SmallStreams,Non-Urban,Not_Forest_Service,512.0881533,-99379.89742,40496.74596,Good,None,Fair,Poor,Not Detected,At or Below Benchmark,Above Benchmark,Good,At or Below Benchmark,Good,Not Detected,At or Below Benchmark,Poor,O/E>=0.9,Poor,Moderate,Good,Fair,Slightly Saline,2018,1/31/2022
2012527,NRS18_WV_10010,6/5/2018,1,Y,NRS_WV-10053,2018-19,EHIGH,SAP,Region_03,Target_Sampled,Federal,Not_USFS,Ohio Region,38.26276189,-81.22257444,Ohio-Tennessee Region,Ohio-Tennessee Region,Mississippi_Basin,Non Federal,WV,LargeStreams,Non-Urban,Not_Forest_Service,1032.341935,1275625,184868.6,Good,None,Fair,Good,Not Detected,At or Below Benchmark,Above Benchmark,Good,Not Assessed,Fair,Not Detected,At or Below Benchmark,Fair,O/E>=0.9,Good,High,Good,Good,Freshwater,2018,1/31/2022
2012528,NRS18_OK_10001,6/4/2018,1,Y,NRS_OK-10053,2018-19,PLNLOW,SPL,Region_06,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,35.7493094,-97.13433463,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,OK,LargeStreams,Non-Urban,Not_Forest_Service,280.099814,-101673.3,-195512.3,Good,None,Good,Fair,Not Detected,At or Below Benchmark,At or Below Benchmark,Fair,At or Below Benchmark,Good,Detected,At or Below Benchmark,Fair,O/E<0.8,Poor,Moderate,Good,Good,Freshwater,2018,1/31/2022
2012529,NRS18_VT_10034,6/4/2018,1,Y,NRS_VT-10148,2018-19,EHIGH,NAP,Region_01,Target_Sampled,Federal,Not_USFS,New England Region,43.29959964,-72.49427176,New England Region,Not Mississippi River Basin,Not_Mississippi_Basin,Non Federal,VT,SmallStreams,Urban,Not_Forest_Service,510.7735729,1878509.844,882885.8223,Good,None,Good,Good,Not Detected,At or Below Benchmark,Above Benchmark,Good,At or Below Benchmark,Good,Not Detected,At or Below Benchmark,Poor,O/E<0.9,Fair,High,Fair,Good,Freshwater,2018,1/31/2022
2012530,NRS18_OK_10002,6/5/2018,1,Y,NRS_OK-10065,2018-19,PLNLOW,SPL,Region_06,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,35.71768787,-96.37697906,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,OK,LargeStreams,Non-Urban,Not_Forest_Service,280.099814,-33804.35,-199592.4,Good,None,Good,Good,Not Detected,At or Below Benchmark,At or Below Benchmark,Good,At or Below Benchmark,Good,Not Detected,At or Below Benchmark,Fair,O/E>=0.9,Good,Moderate,Good,Good,Freshwater,2018,1/31/2022
2012531,NRS18_VT_10011,6/5/2018,1,Y,NRS_VT-10138,2018-19,EHIGH,NAP,Region_01,Target_Sampled,Federal,Not_USFS,New England Region,42.87681254,-72.69005327,New England Region,Not Mississippi River Basin,Not_Mississippi_Basin,Non Federal,VT,SmallStreams,Non-Urban,Not_Forest_Service,510.7735729,1874647.164,833221.8782,Good,None,Good,Good,Not Detected,At or Below Benchmark,At or Below Benchmark,Good,At or Below Benchmark,Fair,Not Detected,At or Below Benchmark,Fair,O/E<0.9,Good,High,Fair,Good,Freshwater,2018,1/31/2022
2012532,NRS18_OK_10045,6/5/2018,1,Y,NRS_OK-10109,2018-19,PLNLOW,SPL,Region_06,Target_Sampled,Federal,Not_USFS,Arkansas-Red-White Region,35.92512642,-96.71988346,Arkansas-White-Red Region,Arkansas-White-Red Region,Mississippi_Basin,Non Federal,OK,LargeStreams,Non-Urban,Not_Forest_Service,280.099814,-64376.78,-176189.2,Good,None,Good,Good,Not Detected,At or Below Benchmark,At or Below Benchmark,Good,Above Benchmark,Good,Not Detected,At or Below Benchmark,Good,O/E<0.9,Good,Moderate,Good,Good,Freshwater,2018,1/31/2022
2012533,NRS18_CA_10048,6/5/2018,1,Y,NRS_CA-11197,2018-19,WMTNS,WMT,Region_09,Target_Sampled,Federal,Not_USFS,California Region,33.26659717,-116.8176623,California Region,Not Mississippi River Basin,Not_Mississippi_Basin,Non Federal,CA,RiversOther,Non-Urban,Not_Forest_Service,227.91659,-1911424.756,-263537.0789,Good,None,Poor,Poor,Not Detected,At or Below Benchmark,At or Below Benchmark,Poor,Not Assessed,Good,Not Detected,At or Below Benchmark,Poor,O/E>=0.9,Poor,Moderate,Good,Fair,Freshwater,2018,1/31/2022
2012534,NRS18_WI_10030,6/5/2018,1,Y,NRS_WI-10178,2018-19,PLNLOW,TPL,Region_05,Target_Sampled,Federal,Not_USFS,Upper Mississippi Region,42.92328943,-89.1037515,Upper Mississippi Region,Upper Mississippi Region,Mississippi_Basin,Non Federal,WI,SmallStreams,Non-Urban,Not_Forest_Service,1676.855586,559346.9135,627650.1497,Good,None,Fair,Poor,Not Detected,At or Below Benchmark,At or Below Benchmark,Good,Not Assessed,Good,Not Detected,At or Below Benchmark,Poor,O/E<0.8,Poor,High,Poor,Good,Freshwater,2018,1/31/2022
